id,attri1id,brand,of8,dept,depttree,inventorytype,largepicture,listprice,name,overallqoh,pictureID,pricerange,prodreviewsaverage,sale,salepricerangebottom,sizelist,smallpicture,style,url,googleproducttaxonomy,shippingsurcharge,topseller,hexlist,tinypicture,justin,meganpick,finds,shoecharge,exclusive
15147,13357,FREE PEOPLE,NULL,TOPS,TOPS &gt Blouses & Shirting,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,49,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
15146,13357,FREE PEOPLE,NULL,TOPS,TOPS,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,49,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
15142,13357,FREE PEOPLE,NULL,TOPS,TOPS &gt Blouses & Shirting,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,38,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
15141,13357,FREE PEOPLE,NULL,TOPS,TOPS,ROCKER GLAM,23227-DEFAULT-l.jpg,108,Easy Street Plaid,38,23227,100-to-200,0,N,108,"XS,S,M,L",23227-DEFAULT-s.jpg,OB514817,p/easy-street-plaid-34783,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32076|Blue|38497f,32077|Green|62806d",23227-DEFAULT-xs.jpg,Y,Y,N,NULL,N
15137,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,172,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15136,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,172,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15133,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,249,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15132,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,249,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15129,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,304,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15128,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,304,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15125,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,85,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15124,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,85,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15121,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,286,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15120,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,286,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15117,13451,FREE PEOPLE,NULL,TOPS,TOPS &gt Tanks & Camis,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,389,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
15116,13451,FREE PEOPLE,NULL,TOPS,TOPS,BOHO CHIC,23543-DEFAULT-l.jpg,20,Long Beach Tank,389,23543,50-and-under,0,N,20,"XS,S,M,L",23543-DEFAULT-s.jpg,F008U853-11,p/long-beach-tank-35155,Apparel & Accessories > Clothing > Shirts & Tops,0,Y,"32249|Purple|663e6d,32250|Black|000000,32251|White|FFFFFF,32252|Green|62806d,32253|GREY|,32254|PETALPINK|",23543-DEFAULT-xs.jpg,Y,N,Y,NULL,N
