_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
2911|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2914|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|4|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2915|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|12|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2916|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|12|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
2919|12721|Black,White,Red|NULL|THREE DOTS|NULL|NULL|TOPS|NULL|22802-DEFAULT-l.jpg|64|Favorite Tunic Tank|12|NULL|Y|XS,S,M,L|LD05018 S16|0|NULL|NULL|N|Y|NULL|N
29|8399|Ivory,Black|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|11809-DEFAULT-l.jpg|20|Galloon Lace Halter|868|NULL|N|XS,S,M,L|F763O915|0|Y|NULL|N|Y|NULL|N
878|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|14|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
879|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|14|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
881|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|40|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
882|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|40|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
884|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|24|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
885|12429|White|NULL|SANCTUARY|NULL|NULL|TOPS|NULL|22222-DEFAULT-l.jpg|119|Essential City Vest|24|NULL|Y|S,M,L|V0032C-WS194|0|NULL|NULL|N|N|NULL|N
887|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|10|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
