"id","parent_id","position","name","permalink","taxonomy_id","lft","rgt","icon_file_name","icon_content_type","icon_file_size","icon_updated_at","description","created_at","updated_at","meta_title","meta_description","meta_keywords","depth"
74,69,0,"Plaid Shirts","categories/tops/blouses-and-shirting/plaid-shirts",1,24,25,,,,,"","2016-10-06 20:29:52.394814","2016-10-06 20:30:04.706964","","","",3
75,62,0,"Bralette","categories/tops/bralettes",1,27,28,,,,,"","2016-10-06 20:30:11.049858","2016-10-06 20:30:25.103586","","","",2
76,62,0,"Graphic Tees","categories/tops/graphic-tees",1,29,30,,,,,"","2016-10-06 20:30:34.928657","2016-10-06 20:30:49.167752","","","",2
77,62,0,"Outerwear","categories/tops/outerwear",1,31,32,,,,,"","2016-10-06 20:30:57.142397","2016-10-06 20:31:10.577975","","","",2
78,62,0,"Ponchos & Kimonos","categories/tops/ponchos-and-kimonos",1,33,34,,,,,"","2016-10-06 20:31:14.981613","2016-10-06 20:31:35.877126","","","",2
79,62,0,"Pullovers","categories/tops/pullovers",1,35,36,,,,,"","2016-10-06 20:31:45.159687","2016-10-06 20:33:19.164812","","","",2
80,62,0,"Sweater Coats","categories/tops/sweater-coats",1,37,38,,,,,"","2016-10-06 20:33:23.509375","2016-10-06 20:33:36.519967","","","",2
81,62,0,"Sweater","categories/tops/sweaters",1,39,40,,,,,"","2016-10-06 20:33:45.913216","2016-10-07 16:34:15.351332","","","",2
82,62,0,"T-Shirts","categories/tops/t-shirts",1,41,42,,,,,"","2016-10-06 20:34:32.086584","2016-10-06 20:34:48.535884","","","",2
83,62,0,"Tanks And Camis","categories/tops/tanks-and-camis",1,43,44,,,,,"","2016-10-06 20:34:52.713136","2016-10-06 20:35:04.069823","","","",2
84,62,0,"Tunics","categories/tops/tunics",1,45,46,,,,,"","2016-10-06 20:35:15.482263","2016-10-06 20:45:33.150404","","","",2
85,62,0,"Vests","categories/tops/vests",1,47,48,,,,,"","2016-10-06 20:45:42.481664","2016-10-06 20:45:53.966462","","","",2
86,2,0,"AG","brand/ag",2,150,151,,,,,"","2016-10-06 20:46:55.442216","2016-10-06 20:47:03.985591","","","",1
87,2,0,"Allison Joy","brand/allison-joy",2,152,153,,,,,"","2016-10-06 20:47:07.556996","2016-10-06 20:47:18.582926","","","",1
88,2,0,"Alternative","brand/alternative",2,154,155,,,,,"","2016-10-06 20:47:29.076036","2016-10-06 20:47:55.380854","","","",1
